"","year","BBmsy","Fdat","species"
"1","2005",1.26405185132713,0.687123010258629,"CTC_diva"
"2","2006",1.36480868914579,0.614330789726077,"CTC_diva"
"3","2007",1.32601568748358,0.846671330818806,"CTC_diva"
"4","2008",1.13079979288331,1.22119499447741,"CTC_diva"
"5","2009",0.813571834189888,1.70955098299337,"CTC_diva"
"6","2010",0.640915094692683,1.88324876972365,"CTC_diva"
"7","2011",0.665287789560548,1.55853750115378,"CTC_diva"
"8","2012",0.794363493087438,1.23390905782963,"CTC_diva"
"9","2013",0.886577524311569,1.09421939836927,"CTC_diva"
"10","2014",0.934368827097093,1.14770268272344,"CTC_diva"
"11","2015",0.865483377895636,1.32027805057763,"CTC_diva"
"12","2016",0.769168847043537,1.47508907090493,"CTC_diva"
"13","2017",0.723309800621741,1.47698598149316,"CTC_diva"
"14","2018",0.739078823734373,1.43491066674614,"CTC_diva"
"15","2019",0.748996694087825,1.42044330759562,"CTC_diva"
"16","2020",0.720848848676991,NA,"CTC_diva"
