"year","station","biomassindex"
2020,10,4.71939921133664
2020,22,0
2020,23,0
2020,32,2.90032953331208
2020,48,1.49871198459206
2020,53,0.113938006208076
2020,58,0.857789332329363
2020,60,0
2020,62,124.877065675782
2020,68,8.25566231769163
