"","year","BBmsy","Fdat","species"
"1","2005",0.492611494544911,1.60308266665074,"SOL_diva"
"2","2006",0.488348100123974,1.62218120526692,"SOL_diva"
"3","2007",0.489711959874141,1.7226824389497,"SOL_diva"
"4","2008",0.453708553131174,1.83678475926534,"SOL_diva"
"5","2009",0.417671587134897,1.79954062863352,"SOL_diva"
"6","2010",0.434518233745063,1.53301862159142,"SOL_diva"
"7","2011",0.529173450500828,1.13532070884857,"SOL_diva"
"8","2012",0.681846810790727,0.803717691700157,"SOL_diva"
"9","2013",0.87685629486483,0.703154236422603,"SOL_diva"
"10","2014",1.0102281482099,0.745075237241878,"SOL_diva"
"11","2015",1.01374290604249,0.863430439296716,"SOL_diva"
"12","2016",0.98383872826396,0.892144295962665,"SOL_diva"
"13","2017",1.0102785330641,0.84948457601988,"SOL_diva"
"14","2018",0.995202054334411,0.800985443535623,"SOL_diva"
"15","2019",1.09889041544676,0.805270984582459,"SOL_diva"
"16","2020",1.09594970558795,NA,"SOL_diva"
