"","year","BBmsy","Fdat","species"
"1","2005",0.498239868326395,1.58341965905018,"SOL_Trust"
"2","2006",0.489489571249118,1.62490238805072,"SOL_Trust"
"3","2007",0.49779891091962,1.71955799548676,"SOL_Trust"
"4","2008",0.46388681039335,1.8280967127419,"SOL_Trust"
"5","2009",0.42584169288801,1.83126985875978,"SOL_Trust"
"6","2010",0.442489927463321,1.55664083622931,"SOL_Trust"
"7","2011",0.532728484853893,1.12258927740333,"SOL_Trust"
"8","2012",0.691882633170239,0.814175633214286,"SOL_Trust"
"9","2013",0.883377004235515,0.693123133494932,"SOL_Trust"
"10","2014",1.02273582640074,0.755185889553963,"SOL_Trust"
"11","2015",1.02202232744316,0.839767034044444,"SOL_Trust"
"12","2016",1.00783317463251,0.884566237604292,"SOL_Trust"
"13","2017",1.02145714478145,0.866499771292424,"SOL_Trust"
"14","2018",0.99872041313791,0.843635540279436,"SOL_Trust"
"15","2019",1.0900712056208,0.890967206810891,"SOL_Trust"
"16","2020",1.05759761725806,NA,"SOL_Trust"
