"","year","BBmsy","Fdat","species"
"1","2005",0.487945080763997,1.62620677530498,"SOL_prop"
"2","2006",0.48143561607937,1.63031396583488,"SOL_prop"
"3","2007",0.481063968334169,1.761191300114,"SOL_prop"
"4","2008",0.449160829881546,1.88061108632464,"SOL_prop"
"5","2009",0.413770516376599,1.86893317851646,"SOL_prop"
"6","2010",0.430292102052009,1.55476178509623,"SOL_prop"
"7","2011",0.524496149868012,1.15002459914967,"SOL_prop"
"8","2012",0.674681834683044,0.810136419755267,"SOL_prop"
"9","2013",0.859585937697354,0.712385809669824,"SOL_prop"
"10","2014",0.992007197744131,0.75989533215132,"SOL_prop"
"11","2015",1.00242533482891,0.867673950932601,"SOL_prop"
"12","2016",0.966574393942248,0.901972377455163,"SOL_prop"
"13","2017",0.994424442146042,0.878854955389877,"SOL_prop"
"14","2018",0.981532542247079,0.847692108256591,"SOL_prop"
"15","2019",1.06235598374715,0.893818233408886,"SOL_prop"
"16","2020",1.04045946692018,NA,"SOL_prop"
