"","year","BBmsy","Fdat","species"
"1","2005",0.492452904031527,1.58668650995412,"SOL_ssa"
"2","2006",0.490067556902787,1.59720296150568,"SOL_ssa"
"3","2007",0.4892409816266,1.71594580136038,"SOL_ssa"
"4","2008",0.453796843194979,1.83000175199892,"SOL_ssa"
"5","2009",0.417325791391988,1.82350874234243,"SOL_ssa"
"6","2010",0.44086293831123,1.5293933572668,"SOL_ssa"
"7","2011",0.527113078062905,1.12866384504483,"SOL_ssa"
"8","2012",0.682017163541445,0.805559204313567,"SOL_ssa"
"9","2013",0.878254325521773,0.700358721468065,"SOL_ssa"
"10","2014",1.00361443990614,0.754296355577803,"SOL_ssa"
"11","2015",1.01364975082469,0.843832478624582,"SOL_ssa"
"12","2016",1.00284162001813,0.879827889766834,"SOL_ssa"
"13","2017",1.01477676057657,0.855315103794675,"SOL_ssa"
"14","2018",0.990293077657865,0.801718467913938,"SOL_ssa"
"15","2019",1.10820859643091,0.821223040709848,"SOL_ssa"
"16","2020",1.10901268634218,NA,"SOL_ssa"
