"","year","BBmsy","Fdat","species"
"1","2005",0.495173404353803,2.15520918274263,"MTS_ssa"
"2","2006",0.401654130558687,2.2955294286486,"MTS_ssa"
"3","2007",0.349932141472984,2.09167265668597,"MTS_ssa"
"4","2008",0.428990693147173,1.35306132321184,"MTS_ssa"
"5","2009",0.583837502752991,1.0472057169415,"MTS_ssa"
"6","2010",0.688584531556245,1.03686302594984,"MTS_ssa"
"7","2011",0.708526239174694,1.1323743359974,"MTS_ssa"
"8","2012",0.701586983181433,1.0919287849534,"MTS_ssa"
"9","2013",0.764028438004781,0.932487028265439,"MTS_ssa"
"10","2014",0.901232619142362,0.90229286975601,"MTS_ssa"
"11","2015",0.928737758492144,1.07004819936175,"MTS_ssa"
"12","2016",0.825787550453233,1.29041304671957,"MTS_ssa"
"13","2017",0.7361647924785,1.30169111354289,"MTS_ssa"
"14","2018",0.793045676370884,1.08465462939171,"MTS_ssa"
"15","2019",0.931567794094657,0.90333536137398,"MTS_ssa"
"16","2020",0.967763516141505,NA,"MTS_ssa"
