"","CPUE_File","Stock","Name","EnglishName","ScientificName","StartYear","EndYear","Resilience","r.low","r.hi","Bk.yr","Bk.pr","Bk.pr.low","Bk.pr.hi","e.creep","Comment","Source","MSY.BSM","MSY.BSM.lcl","MSY.BSM.ucl","r.BSM","r.BSM.lcl","r.BSM.ucl","k.BSM","k.BSM.lcl","k.BSM.ucl","B_Bmsy","B_Bmsy.lcl","B_Bmsy.ucl","F_Fmsy","F_Fmsy.lcl","F_Fmsy.ucl"
"1","SOL_CPUE.csv","SOL_Trust","Solea_solea","b","d (West and Southwest of Ireland",2005,2020,"Medium",0.33,0.76,2018,"About half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",,,"
"2","SOL_CPUE.csv","SOL_diva","Solea_solea","b","d (West and Southwest of Ireland",2005,2020,"Medium",0.33,0.76,2018,"About half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",,,"
"3","SOL_CPUE.csv","SOL_prop","Solea_solea","b","d (West and Southwest of Ireland",2005,2020,"Medium",0.33,0.76,2018,"About half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",,,"
"4","SOL_CPUE.csv","SOL_ssa","Solea_solea","b","d (West and Southwest of Ireland",2005,2020,"Medium",0.33,0.76,2018,"About half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",,,"
"5","SOL_CPUE.csv","SOL_pred","Solea_solea","b","d (West and Southwest of Ireland",2005,2020,"Medium",0.33,0.76,2018,"About half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",,,"
