"","Stock","Year","Catch","CPUE"
"1","CTC_Trust",2005,NA,28.2498876025996
"2","CTC_Trust",2006,NA,62.3280746250602
"3","CTC_Trust",2007,NA,92.7276888159573
"4","CTC_Trust",2008,NA,39.697375852612
"5","CTC_Trust",2009,NA,38.2998290817423
"6","CTC_Trust",2010,NA,16.8640040358532
"7","CTC_Trust",2011,NA,26.5305205249664
"8","CTC_Trust",2012,NA,44.8160372923602
"9","CTC_Trust",2013,NA,31.3795710832212
"10","CTC_Trust",2014,NA,58.1292287079874
"11","CTC_Trust",2015,NA,31.568586992397
"12","CTC_Trust",2016,NA,38.5790690517797
"13","CTC_Trust",2017,NA,25.6753802614143
"14","CTC_Trust",2018,NA,36.2950150726641
"15","CTC_Trust",2019,NA,36.9205557272804
"16","CTC_Trust",2020,NA,27.9430158080327
"17","CTC_diva",2005,NA,28.2498876025996
"18","CTC_diva",2006,NA,62.3280746250602
"19","CTC_diva",2007,NA,92.7276888159573
"20","CTC_diva",2008,NA,39.697375852612
"21","CTC_diva",2009,NA,38.2998290817423
"22","CTC_diva",2010,NA,16.8640040358532
"23","CTC_diva",2011,NA,26.5305205249664
"24","CTC_diva",2012,NA,44.8160372923602
"25","CTC_diva",2013,NA,31.3795710832212
"26","CTC_diva",2014,NA,58.1292287079874
"27","CTC_diva",2015,NA,31.568586992397
"28","CTC_diva",2016,NA,38.5790690517797
"29","CTC_diva",2017,NA,25.6753802614143
"30","CTC_diva",2018,NA,36.2950150726641
"31","CTC_diva",2019,NA,36.9205557272804
"32","CTC_diva",2020,NA,30.2291839785686
"33","CTC_prop",2005,NA,28.2498876025996
"34","CTC_prop",2006,NA,62.3280746250602
"35","CTC_prop",2007,NA,92.7276888159573
"36","CTC_prop",2008,NA,39.697375852612
"37","CTC_prop",2009,NA,38.2998290817423
"38","CTC_prop",2010,NA,16.8640040358532
"39","CTC_prop",2011,NA,26.5305205249664
"40","CTC_prop",2012,NA,44.8160372923602
"41","CTC_prop",2013,NA,31.3795710832212
"42","CTC_prop",2014,NA,58.1292287079874
"43","CTC_prop",2015,NA,31.568586992397
"44","CTC_prop",2016,NA,38.5790690517797
"45","CTC_prop",2017,NA,25.6753802614143
"46","CTC_prop",2018,NA,36.2950150726641
"47","CTC_prop",2019,NA,36.9205557272804
"48","CTC_prop",2020,NA,33.3361925379981
"49","CTC_ssa",2005,NA,28.2498876025996
"50","CTC_ssa",2006,NA,62.3280746250602
"51","CTC_ssa",2007,NA,92.7276888159573
"52","CTC_ssa",2008,NA,39.697375852612
"53","CTC_ssa",2009,NA,38.2998290817423
"54","CTC_ssa",2010,NA,16.8640040358532
"55","CTC_ssa",2011,NA,26.5305205249664
"56","CTC_ssa",2012,NA,44.8160372923602
"57","CTC_ssa",2013,NA,31.3795710832212
"58","CTC_ssa",2014,NA,58.1292287079874
"59","CTC_ssa",2015,NA,31.568586992397
"60","CTC_ssa",2016,NA,38.5790690517797
"61","CTC_ssa",2017,NA,25.6753802614143
"62","CTC_ssa",2018,NA,36.2950150726641
"63","CTC_ssa",2019,NA,36.9205557272804
"64","CTC_ssa",2020,NA,27.6182083300828
"65","CTC_pred",2005,NA,28.2498876025996
"66","CTC_pred",2006,NA,62.3280746250602
"67","CTC_pred",2007,NA,92.7276888159573
"68","CTC_pred",2008,NA,39.697375852612
"69","CTC_pred",2009,NA,38.2998290817423
"70","CTC_pred",2010,NA,16.8640040358532
"71","CTC_pred",2011,NA,26.5305205249664
"72","CTC_pred",2012,NA,44.8160372923602
"73","CTC_pred",2013,NA,31.3795710832212
"74","CTC_pred",2014,NA,58.1292287079874
"75","CTC_pred",2015,NA,31.568586992397
"76","CTC_pred",2016,NA,38.5790690517797
"77","CTC_pred",2017,NA,25.6753802614143
"78","CTC_pred",2018,NA,36.2950150726641
"79","CTC_pred",2019,NA,36.9205557272804
"80","CTC_pred",2020,NA,27.3909771894058
