"","Stock","Year","Catch","CPUE"
"1","SJA_Trust",2005,NA,2.20976056352985
"2","SJA_Trust",2006,NA,3.15857912018695
"3","SJA_Trust",2007,NA,2.59177691432453
"4","SJA_Trust",2008,NA,3.37922801678139
"5","SJA_Trust",2009,NA,1.4153776284884
"6","SJA_Trust",2010,NA,1.59335062437558
"7","SJA_Trust",2011,NA,1.92539297801855
"8","SJA_Trust",2012,NA,1.95743148925741
"9","SJA_Trust",2013,NA,4.95857322591982
"10","SJA_Trust",2014,NA,2.44663291079164
"11","SJA_Trust",2015,NA,4.29274426154437
"12","SJA_Trust",2016,NA,6.24843252831688
"13","SJA_Trust",2017,NA,5.8222370939746
"14","SJA_Trust",2018,NA,5.95608003639737
"15","SJA_Trust",2019,NA,7.17135125582989
"16","SJA_Trust",2020,NA,2.90267797442688
"17","SJA_diva",2005,NA,2.20976056352985
"18","SJA_diva",2006,NA,3.15857912018695
"19","SJA_diva",2007,NA,2.59177691432453
"20","SJA_diva",2008,NA,3.37922801678139
"21","SJA_diva",2009,NA,1.4153776284884
"22","SJA_diva",2010,NA,1.59335062437558
"23","SJA_diva",2011,NA,1.92539297801855
"24","SJA_diva",2012,NA,1.95743148925741
"25","SJA_diva",2013,NA,4.95857322591982
"26","SJA_diva",2014,NA,2.44663291079164
"27","SJA_diva",2015,NA,4.29274426154437
"28","SJA_diva",2016,NA,6.24843252831688
"29","SJA_diva",2017,NA,5.8222370939746
"30","SJA_diva",2018,NA,5.95608003639737
"31","SJA_diva",2019,NA,7.17135125582989
"32","SJA_diva",2020,NA,3.98984646998498
"33","SJA_prop",2005,NA,2.20976056352985
"34","SJA_prop",2006,NA,3.15857912018695
"35","SJA_prop",2007,NA,2.59177691432453
"36","SJA_prop",2008,NA,3.37922801678139
"37","SJA_prop",2009,NA,1.4153776284884
"38","SJA_prop",2010,NA,1.59335062437558
"39","SJA_prop",2011,NA,1.92539297801855
"40","SJA_prop",2012,NA,1.95743148925741
"41","SJA_prop",2013,NA,4.95857322591982
"42","SJA_prop",2014,NA,2.44663291079164
"43","SJA_prop",2015,NA,4.29274426154437
"44","SJA_prop",2016,NA,6.24843252831688
"45","SJA_prop",2017,NA,5.8222370939746
"46","SJA_prop",2018,NA,5.95608003639737
"47","SJA_prop",2019,NA,7.17135125582989
"48","SJA_prop",2020,NA,4.6116656055534
"49","SJA_ssa",2005,NA,2.20976056352985
"50","SJA_ssa",2006,NA,3.15857912018695
"51","SJA_ssa",2007,NA,2.59177691432453
"52","SJA_ssa",2008,NA,3.37922801678139
"53","SJA_ssa",2009,NA,1.4153776284884
"54","SJA_ssa",2010,NA,1.59335062437558
"55","SJA_ssa",2011,NA,1.92539297801855
"56","SJA_ssa",2012,NA,1.95743148925741
"57","SJA_ssa",2013,NA,4.95857322591982
"58","SJA_ssa",2014,NA,2.44663291079164
"59","SJA_ssa",2015,NA,4.29274426154437
"60","SJA_ssa",2016,NA,6.24843252831688
"61","SJA_ssa",2017,NA,5.8222370939746
"62","SJA_ssa",2018,NA,5.95608003639737
"63","SJA_ssa",2019,NA,7.17135125582989
"64","SJA_ssa",2020,NA,4.87992545666301
"65","SJA_pred",2005,NA,2.20976056352985
"66","SJA_pred",2006,NA,3.15857912018695
"67","SJA_pred",2007,NA,2.59177691432453
"68","SJA_pred",2008,NA,3.37922801678139
"69","SJA_pred",2009,NA,1.4153776284884
"70","SJA_pred",2010,NA,1.59335062437558
"71","SJA_pred",2011,NA,1.92539297801855
"72","SJA_pred",2012,NA,1.95743148925741
"73","SJA_pred",2013,NA,4.95857322591982
"74","SJA_pred",2014,NA,2.44663291079164
"75","SJA_pred",2015,NA,4.29274426154437
"76","SJA_pred",2016,NA,6.24843252831688
"77","SJA_pred",2017,NA,5.8222370939746
"78","SJA_pred",2018,NA,5.95608003639737
"79","SJA_pred",2019,NA,7.17135125582989
"80","SJA_pred",2020,NA,4.03905686730084
