"","year","BBmsy","Fdat","species"
"1","2005",1.26131462239582,0.687752920051084,"CTC_ssa"
"2","2006",1.38451326335662,0.602288515035274,"CTC_ssa"
"3","2007",1.32509538592573,0.848691583732984,"CTC_ssa"
"4","2008",1.13444891462467,1.21066460735225,"CTC_ssa"
"5","2009",0.809896586978359,1.70210223638934,"CTC_ssa"
"6","2010",0.638347361006955,1.86443835148258,"CTC_ssa"
"7","2011",0.668900591257065,1.52578761815475,"CTC_ssa"
"8","2012",0.800239973621726,1.20623399435761,"CTC_ssa"
"9","2013",0.903620146659843,1.08360097778295,"CTC_ssa"
"10","2014",0.931443185217472,1.14589433583479,"CTC_ssa"
"11","2015",0.869456889720729,1.32321437444184,"CTC_ssa"
"12","2016",0.769467531146389,1.46235467429394,"CTC_ssa"
"13","2017",0.724580465449891,1.4977811593758,"CTC_ssa"
"14","2018",0.735298552265409,1.43820197800811,"CTC_ssa"
"15","2019",0.734671361319544,1.4774204822477,"CTC_ssa"
"16","2020",0.69903889880853,NA,"CTC_ssa"
