"","year","BBmsy","Fdat","species"
"1","2005",1.24303149251595,0.676635131672764,"CTC_Trust"
"2","2006",1.3566103243289,0.598719097425941,"CTC_Trust"
"3","2007",1.30952081616189,0.852037572378564,"CTC_Trust"
"4","2008",1.11746426092647,1.22379119570198,"CTC_Trust"
"5","2009",0.806171837736661,1.71345734774222,"CTC_Trust"
"6","2010",0.628168553794792,1.91387489299211,"CTC_Trust"
"7","2011",0.657220874966421,1.56760944740072,"CTC_Trust"
"8","2012",0.791136173339773,1.23081784835022,"CTC_Trust"
"9","2013",0.886884047583706,1.1028650359351,"CTC_Trust"
"10","2014",0.929697424452398,1.17124271680374,"CTC_Trust"
"11","2015",0.856494162387368,1.3433850728351,"CTC_Trust"
"12","2016",0.757794048436555,1.49697836018673,"CTC_Trust"
"13","2017",0.714981060976257,1.51111366692164,"CTC_Trust"
"14","2018",0.721991176652023,1.47851440335578,"CTC_Trust"
"15","2019",0.727385688157397,1.50088987139186,"CTC_Trust"
"16","2020",0.694369475649762,NA,"CTC_Trust"
